,president,subgroup,date,approve,approve_hi,approve_lo,disapprove,disapprove_hi,disapprove_lo,timestamp,spread,datetime,date_display
1246,Joe Biden,Adults,03-23-22,40.62,45.600443,35.635264,52.2,56.335013,48.070816,20:22:23 23 Mar 2022,-11.59,2022-03-23 20:22:23,Mar. 23
1249,Joe Biden,Adults,03-22-22,41.39,45.736045,37.039099,52.96,57.109862,48.800663,16:32:23 22 Mar 2022,-11.57,2022-03-22 16:32:23,Mar. 22
1252,Joe Biden,Adults,03-21-22,41.86,46.270697,37.45831,52.67,56.847101,48.499395,15:08:23 21 Mar 2022,-10.81,2022-03-21 15:08:23,Mar. 21
1258,Joe Biden,Adults,03-18-22,41.47,45.739398,37.195777,52.89,57.069598,48.705195,09:35:24 18 Mar 2022,-11.42,2022-03-18 09:35:24,Mar. 18
1261,Joe Biden,Adults,03-17-22,41.47,45.739405,37.195771,52.89,57.069595,48.705199,11:50:23 17 Mar 2022,-11.42,2022-03-17 11:50:23,Mar. 17
1264,Joe Biden,Adults,03-16-22,42.25,46.65244,37.839729,52.39,56.742526,48.027773,14:54:23 16 Mar 2022,-10.14,2022-03-16 14:54:23,Mar. 16
1267,Joe Biden,Adults,03-15-22,42.58,46.916557,38.236632,52.33,56.962961,47.700302,21:03:23 15 Mar 2022,-9.76,2022-03-15 21:03:23,Mar. 15
1270,Joe Biden,Adults,03-14-22,42.99,47.749698,38.235533,51.24,55.963083,46.519107,21:52:22 14 Mar 2022,-8.25,2022-03-14 21:52:22,Mar. 14
1276,Joe Biden,Adults,03-13-22,42.76,47.572837,37.938623,50.0,54.265941,45.726808,15:16:40 13 Mar 2022,-7.24,2022-03-13 15:16:40,Mar. 13
1279,Joe Biden,Adults,03-11-22,42.76,47.57283,37.93863,50.0,54.265942,45.726806,09:49:22 11 Mar 2022,-7.24,2022-03-11 09:49:22,Mar. 11
1282,Joe Biden,Adults,03-10-22,42.76,47.572832,37.938629,50.0,54.265945,45.726804,21:46:21 10 Mar 2022,-7.24,2022-03-10 21:46:21,Mar. 10
1285,Joe Biden,Adults,03-09-22,42.96,47.919011,37.99804,49.85,54.235303,45.469842,11:18:21  9 Mar 2022,-6.89,2022-03-09 11:18:21,Mar. 09
1288,Joe Biden,Adults,03-08-22,42.98,48.066113,37.902679,50.26,54.680577,45.836388,19:38:21  8 Mar 2022,-7.27,2022-03-08 19:38:21,Mar. 08
1297,Joe Biden,Adults,03-07-22,43.08,47.874339,38.282993,51.58,55.780242,47.373377,08:58:56  7 Mar 2022,-8.5,2022-03-07 08:58:56,Mar. 07
1300,Joe Biden,Adults,03-04-22,43.08,47.874332,38.282999,51.58,55.780237,47.373382,12:25:21  4 Mar 2022,-8.5,2022-03-04 12:25:21,Mar. 04
1303,Joe Biden,Adults,03-03-22,41.39,45.765325,37.017551,52.49,56.723074,48.25229,10:01:21  3 Mar 2022,-11.1,2022-03-03 10:01:21,Mar. 03
1306,Joe Biden,Adults,03-02-22,41.41,45.887303,36.932195,52.59,56.839646,48.339641,21:33:21  2 Mar 2022,-11.18,2022-03-02 21:33:21,Mar. 02
1309,Joe Biden,Adults,03-01-22,41.25,45.785255,36.705435,53.14,57.055512,49.225661,20:24:21  1 Mar 2022,-11.9,2022-03-01 20:24:21,Mar. 01
1312,Joe Biden,Adults,02-28-22,40.82,45.25621,36.38809,52.7,56.57315,48.81985,17:03:13 28 Feb 2022,-11.87,2022-02-28 17:03:13,Feb. 28
1318,Joe Biden,Adults,02-27-22,41.44,45.618408,37.251816,52.97,57.139121,48.800819,13:01:43 27 Feb 2022,-11.53,2022-02-27 13:01:43,Feb. 27
1321,Joe Biden,Adults,02-25-22,41.44,45.618409,37.251816,52.97,57.139124,48.800817,16:28:21 25 Feb 2022,-11.53,2022-02-25 16:28:21,Feb. 25
1324,Joe Biden,Adults,02-24-22,41.39,45.631082,37.146152,53.02,57.327564,48.707459,21:56:22 24 Feb 2022,-11.63,2022-02-24 21:56:22,Feb. 24
1327,Joe Biden,Adults,02-23-22,41.42,45.951648,36.885448,52.74,57.236688,48.24359,15:34:21 23 Feb 2022,-11.32,2022-02-23 15:34:21,Feb. 23
1333,Joe Biden,Adults,02-22-22,41.36,46.040622,36.689088,53.27,57.915676,48.616949,09:09:39 22 Feb 2022,-11.9,2022-02-22 09:09:39,Feb. 22
1339,Joe Biden,Adults,02-20-22,40.8,45.488951,36.116451,52.43,56.764696,48.102951,13:15:38 20 Feb 2022,-11.63,2022-02-20 13:15:38,Feb. 20
1342,Joe Biden,Adults,02-18-22,40.8,45.48896,36.116442,52.43,56.764706,48.102941,13:15:22 18 Feb 2022,-11.63,2022-02-18 13:15:22,Feb. 18
1345,Joe Biden,Adults,02-17-22,40.8,45.488951,36.116451,52.43,56.764696,48.102951,14:52:33 17 Feb 2022,-11.63,2022-02-17 14:52:33,Feb. 17
1348,Joe Biden,Adults,02-16-22,40.87,45.694204,36.037423,52.52,56.957917,48.089644,14:03:21 16 Feb 2022,-11.66,2022-02-16 14:03:21,Feb. 16
1351,Joe Biden,Adults,02-15-22,41.51,45.674196,37.349016,52.62,57.201315,48.029107,20:46:22 15 Feb 2022,-11.1,2022-02-15 20:46:22,Feb. 15
1354,Joe Biden,Adults,02-14-22,41.54,45.50776,37.566351,52.88,57.383565,48.378503,09:39:20 14 Feb 2022,-11.34,2022-02-14 09:39:20,Feb. 14
1360,Joe Biden,Adults,02-13-22,40.7,44.580107,36.818265,52.02,56.287629,47.748122,13:12:38 13 Feb 2022,-11.32,2022-02-13 13:12:38,Feb. 13
1363,Joe Biden,Adults,02-11-22,40.7,44.580098,36.818274,52.02,56.287618,47.748133,13:21:20 11 Feb 2022,-11.32,2022-02-11 13:21:20,Feb. 11
1366,Joe Biden,Adults,02-10-22,40.7,44.580116,36.818256,52.02,56.287627,47.748124,16:31:22 10 Feb 2022,-11.32,2022-02-10 16:31:22,Feb. 10
1369,Joe Biden,Adults,02-09-22,40.86,44.899128,36.82569,51.83,56.101082,47.555899,21:39:20  9 Feb 2022,-10.97,2022-02-09 21:39:20,Feb. 09
1372,Joe Biden,Adults,02-08-22,40.59,44.75328,36.420533,52.31,56.899136,47.71101,19:56:21  8 Feb 2022,-11.72,2022-02-08 19:56:21,Feb. 08
1381,Joe Biden,Adults,02-07-22,41.23,45.324089,37.142374,52.77,57.135225,48.396131,09:45:52  7 Feb 2022,-11.53,2022-02-07 09:45:52,Feb. 07
1384,Joe Biden,Adults,02-04-22,41.23,45.324079,37.142383,52.77,57.135226,48.39613,09:34:21  4 Feb 2022,-11.53,2022-02-04 09:34:21,Feb. 04
1387,Joe Biden,Adults,02-03-22,41.23,45.324089,37.142374,52.77,57.135225,48.396131,20:47:20  3 Feb 2022,-11.53,2022-02-03 20:47:20,Feb. 03
1390,Joe Biden,Adults,02-02-22,41.87,46.125909,37.607824,52.04,56.406953,47.679324,14:50:21  2 Feb 2022,-10.18,2022-02-02 14:50:21,Feb. 02
1393,Joe Biden,Adults,02-01-22,41.58,45.934187,37.234388,52.51,56.695785,48.314842,11:28:20  1 Feb 2022,-10.92,2022-02-01 11:28:20,Feb. 01
1399,Joe Biden,Adults,01-31-22,41.58,45.934188,37.234388,52.51,56.695797,48.31483,09:46:35 31 Jan 2022,-10.92,2022-01-31 09:46:35,Jan. 31
1402,Joe Biden,Adults,01-29-22,41.58,45.934178,37.234398,52.51,56.695786,48.314841,20:44:20 29 Jan 2022,-10.92,2022-01-29 20:44:20,Jan. 29
1405,Joe Biden,Adults,01-28-22,41.58,46.019669,37.144522,52.34,56.493579,48.194076,14:12:20 28 Jan 2022,-10.76,2022-01-28 14:12:20,Jan. 28
1408,Joe Biden,Adults,01-27-22,41.72,46.345496,37.102304,52.43,56.674655,48.186281,20:52:20 27 Jan 2022,-10.71,2022-01-27 20:52:20,Jan. 27
1411,Joe Biden,Adults,01-26-22,41.21,45.672778,36.745547,52.73,57.058659,48.397772,18:51:19 26 Jan 2022,-11.52,2022-01-26 18:51:19,Jan. 26
1414,Joe Biden,Adults,01-25-22,42.12,46.424387,37.817832,53.03,57.569846,48.491691,14:31:20 25 Jan 2022,-10.91,2022-01-25 14:31:20,Jan. 25
1417,Joe Biden,Adults,01-24-22,41.71,46.172447,37.243866,52.79,57.466565,48.122303,19:55:20 24 Jan 2022,-11.09,2022-01-24 19:55:20,Jan. 24
1423,Joe Biden,Adults,01-23-22,41.71,46.172447,37.243866,52.79,57.466565,48.122303,12:42:34 23 Jan 2022,-11.09,2022-01-23 12:42:34,Jan. 23
1426,Joe Biden,Adults,01-21-22,41.71,46.172447,37.243866,52.79,57.466565,48.122303,09:40:20 21 Jan 2022,-11.09,2022-01-21 09:40:20,Jan. 21
1429,Joe Biden,Adults,01-20-22,41.76,46.356604,37.167129,52.54,57.355238,47.722956,21:04:19 20 Jan 2022,-10.78,2022-01-20 21:04:19,Jan. 20
1432,Joe Biden,Adults,01-19-22,41.75,47.03441,36.458802,51.53,56.538476,46.512222,17:31:19 19 Jan 2022,-9.78,2022-01-19 17:31:19,Jan. 19
1435,Joe Biden,Adults,01-18-22,42.27,47.525563,37.012073,51.87,56.97401,46.759181,20:35:19 18 Jan 2022,-9.6,2022-01-18 20:35:19,Jan. 18
1438,Joe Biden,Adults,01-17-22,42.5,47.916046,37.08207,51.39,56.369216,46.41308,12:18:18 17 Jan 2022,-8.89,2022-01-17 12:18:18,Jan. 17
1444,Joe Biden,Adults,01-16-22,41.92,47.525126,36.314459,50.36,54.699497,46.022983,13:18:32 16 Jan 2022,-8.44,2022-01-16 13:18:32,Jan. 16
1447,Joe Biden,Adults,01-14-22,41.92,47.525126,36.314459,50.36,54.699497,46.022983,14:09:19 14 Jan 2022,-8.44,2022-01-14 14:09:19,Jan. 14
1450,Joe Biden,Adults,01-13-22,41.92,47.525126,36.314459,50.36,54.699497,46.022983,20:36:18 13 Jan 2022,-8.44,2022-01-13 20:36:18,Jan. 13
1453,Joe Biden,Adults,01-12-22,41.65,47.409903,35.886848,50.4,54.957321,45.843482,14:17:19 12 Jan 2022,-8.75,2022-01-12 14:17:19,Jan. 12
1456,Joe Biden,Adults,01-11-22,42.87,46.906508,38.832121,50.12,54.572749,45.665161,09:54:18 11 Jan 2022,-7.25,2022-01-11 09:54:18,Jan. 11
1465,Joe Biden,Adults,01-10-22,42.57,47.006502,38.12739,50.49,53.989295,46.999965,09:32:44 10 Jan 2022,-7.93,2022-01-10 09:32:44,Jan. 10
1468,Joe Biden,Adults,01-07-22,42.57,47.006502,38.12739,50.49,53.989295,46.999965,10:50:19  7 Jan 2022,-7.93,2022-01-07 10:50:19,Jan. 07
1471,Joe Biden,Adults,01-06-22,42.55,46.997562,38.106784,50.35,53.944773,46.750197,16:19:18  6 Jan 2022,-7.8,2022-01-06 16:19:18,Jan. 06
1474,Joe Biden,Adults,01-05-22,43.09,48.381362,37.793357,50.11,54.186402,46.034119,11:52:18  5 Jan 2022,-7.02,2022-01-05 11:52:18,Jan. 05
1477,Joe Biden,Adults,01-04-22,43.38,48.227468,38.539626,50.11,54.598575,45.627662,14:18:18  4 Jan 2022,-6.73,2022-01-04 14:18:18,Jan. 04
1486,Joe Biden,Adults,01-03-22,43.38,48.227697,38.539558,50.11,54.598622,45.627132,09:43:42  3 Jan 2022,-6.73,2022-01-03 09:43:42,Jan. 03
1489,Joe Biden,Adults,12-31-21,43.38,48.227697,38.539558,50.11,54.598622,45.627132,09:12:18 31 Dec 2021,-6.73,2021-12-31 09:12:18,Dec. 31
1492,Joe Biden,Adults,12-30-21,43.38,48.227697,38.539558,50.11,54.598622,45.627132,09:43:17 30 Dec 2021,-6.73,2021-12-30 09:43:17,Dec. 30
1495,Joe Biden,Adults,12-29-21,43.18,47.972546,38.397256,50.17,54.764086,45.581782,09:33:18 29 Dec 2021,-6.99,2021-12-29 09:33:18,Dec. 29
1498,Joe Biden,Adults,12-28-21,43.18,47.972546,38.397256,50.17,54.764086,45.581782,09:38:18 28 Dec 2021,-6.99,2021-12-28 09:38:18,Dec. 28
1510,Joe Biden,Adults,12-27-21,43.18,47.972546,38.397256,50.17,54.764086,45.581782,08:50:56 27 Dec 2021,-6.99,2021-12-27 08:50:56,Dec. 27
1513,Joe Biden,Adults,12-23-21,43.18,47.972546,38.397256,50.17,54.764086,45.581782,15:05:18 23 Dec 2021,-6.99,2021-12-23 15:05:18,Dec. 23
1516,Joe Biden,Adults,12-22-21,43.2,48.023481,38.369112,50.17,54.772466,45.564916,12:21:18 22 Dec 2021,-6.97,2021-12-22 12:21:18,Dec. 22
1519,Joe Biden,Adults,12-21-21,43.71,48.332894,39.096084,50.44,55.175257,45.712997,20:53:17 21 Dec 2021,-6.73,2021-12-21 20:53:17,Dec. 21
1528,Joe Biden,Adults,12-20-21,43.83,48.662169,39.005238,49.39,53.826096,44.963845,09:28:42 20 Dec 2021,-5.56,2021-12-20 09:28:42,Dec. 20
1531,Joe Biden,Adults,12-17-21,43.83,48.662197,39.00521,49.39,53.826126,44.963815,16:48:16 17 Dec 2021,-5.56,2021-12-17 16:48:16,Dec. 17
1534,Joe Biden,Adults,12-16-21,43.48,48.15934,38.809639,49.79,54.107291,45.46545,15:07:17 16 Dec 2021,-6.3,2021-12-16 15:07:17,Dec. 16
1537,Joe Biden,Adults,12-15-21,43.58,48.405819,38.744634,49.7,54.124321,45.275716,20:27:17 15 Dec 2021,-6.12,2021-12-15 20:27:17,Dec. 15
1540,Joe Biden,Adults,12-14-21,43.3,47.921243,38.673633,49.65,54.286784,45.004899,14:02:18 14 Dec 2021,-6.35,2021-12-14 14:02:18,Dec. 14
1549,Joe Biden,Adults,12-13-21,43.3,47.921243,38.673633,49.65,54.286784,45.004899,09:38:40 13 Dec 2021,-6.35,2021-12-13 09:38:40,Dec. 13
1552,Joe Biden,Adults,12-10-21,43.3,47.921215,38.673661,49.65,54.286754,45.004929,21:00:21 10 Dec 2021,-6.35,2021-12-10 21:00:21,Dec. 10
1555,Joe Biden,Adults,12-09-21,42.75,47.05754,38.438705,49.99,54.696564,45.281418,13:02:17  9 Dec 2021,-7.24,2021-12-09 13:02:17,Dec. 09
1558,Joe Biden,Adults,12-08-21,42.62,46.903693,38.327317,49.68,54.823783,44.530952,11:56:16  8 Dec 2021,-7.06,2021-12-08 11:56:16,Dec. 08
1561,Joe Biden,Adults,12-07-21,43.47,47.47884,39.455754,49.59,55.02998,44.143956,20:13:16  7 Dec 2021,-6.12,2021-12-07 20:13:16,Dec. 07
1570,Joe Biden,Adults,12-06-21,43.16,47.528683,38.796784,50.37,54.332591,46.39928,09:39:39  6 Dec 2021,-7.2,2021-12-06 09:39:39,Dec. 06
1573,Joe Biden,Adults,12-03-21,43.16,47.528712,38.796755,50.37,54.332623,46.399249,09:31:16  3 Dec 2021,-7.2,2021-12-03 09:31:16,Dec. 03
1576,Joe Biden,Adults,12-02-21,43.16,47.528712,38.796755,50.37,54.332623,46.399249,21:34:16  2 Dec 2021,-7.2,2021-12-02 21:34:16,Dec. 02
1579,Joe Biden,Adults,12-01-21,43.03,47.529308,38.535439,50.47,54.598804,46.345647,13:15:16  1 Dec 2021,-7.44,2021-12-01 13:15:16,Dec. 01
1582,Joe Biden,Adults,11-30-21,43.17,47.788477,38.545324,50.76,55.047606,46.470149,20:29:31 30 Nov 2021,-7.59,2021-11-30 20:29:31,Nov. 30
1597,Joe Biden,Adults,11-29-21,42.99,47.322284,38.665263,50.73,54.791611,46.659848,09:18:00 29 Nov 2021,-7.73,2021-11-29 09:18:00,Nov. 29
1600,Joe Biden,Adults,11-24-21,42.99,47.322313,38.665234,50.73,54.791642,46.659816,11:41:16 24 Nov 2021,-7.73,2021-11-24 11:41:16,Nov. 24
1603,Joe Biden,Adults,11-23-21,43.12,47.687779,38.545224,51.49,55.712429,47.27744,20:21:15 23 Nov 2021,-8.38,2021-11-23 20:21:15,Nov. 23
1606,Joe Biden,Adults,11-22-21,42.95,47.697802,38.208945,51.41,55.813885,47.012256,14:23:15 22 Nov 2021,-8.46,2021-11-22 14:23:15,Nov. 22
1612,Joe Biden,Adults,11-21-21,42.6,47.521686,37.670142,50.74,54.867069,46.612632,13:25:27 21 Nov 2021,-8.14,2021-11-21 13:25:27,Nov. 21
1615,Joe Biden,Adults,11-19-21,42.6,47.521686,37.670142,50.74,54.867069,46.612632,14:55:16 19 Nov 2021,-8.14,2021-11-19 14:55:16,Nov. 19
1618,Joe Biden,Adults,11-18-21,42.57,47.497593,37.652139,50.73,54.865547,46.59851,21:20:17 18 Nov 2021,-8.16,2021-11-18 21:20:17,Nov. 18
1621,Joe Biden,Adults,11-17-21,43.5,47.642289,39.360904,50.42,54.569763,46.275697,09:39:16 17 Nov 2021,-6.92,2021-11-17 09:39:16,Nov. 17
1624,Joe Biden,Adults,11-16-21,43.38,47.659551,39.107258,50.78,54.992847,46.560527,09:42:15 16 Nov 2021,-7.39,2021-11-16 09:42:15,Nov. 16
1627,Joe Biden,Adults,11-15-21,43.35,47.641352,39.060976,50.72,54.955779,46.485995,20:17:15 15 Nov 2021,-7.37,2021-11-15 20:17:15,Nov. 15
1633,Joe Biden,Adults,11-14-21,43.62,48.009714,39.223902,49.97,54.116964,45.826675,13:13:25 14 Nov 2021,-6.36,2021-11-14 13:13:25,Nov. 14
1636,Joe Biden,Adults,11-12-21,43.62,48.009714,39.223902,49.97,54.116964,45.826675,16:09:14 12 Nov 2021,-6.36,2021-11-12 16:09:14,Nov. 12
1639,Joe Biden,Adults,11-11-21,43.62,48.009714,39.223902,49.97,54.116964,45.826675,12:28:15 11 Nov 2021,-6.36,2021-11-11 12:28:15,Nov. 11
1642,Joe Biden,Adults,11-10-21,43.69,48.206804,39.1799,49.84,54.079967,45.591591,20:20:16 10 Nov 2021,-6.14,2021-11-10 20:20:16,Nov. 10
1645,Joe Biden,Adults,11-09-21,43.77,48.634066,38.905898,50.21,54.784489,45.631084,09:39:15  9 Nov 2021,-6.44,2021-11-09 09:39:15,Nov. 09
1648,Joe Biden,Adults,11-08-21,43.65,48.645132,38.658416,49.69,54.077745,45.3108,12:50:15  8 Nov 2021,-6.04,2021-11-08 12:50:15,Nov. 08
1654,Joe Biden,Adults,11-07-21,43.23,48.179146,38.274151,49.51,53.890469,45.131368,13:54:28  7 Nov 2021,-6.28,2021-11-07 13:54:28,Nov. 07
1657,Joe Biden,Adults,11-05-21,43.23,48.179146,38.274151,49.51,53.890469,45.131368,13:00:20  5 Nov 2021,-6.28,2021-11-05 13:00:20,Nov. 05
1660,Joe Biden,Adults,11-04-21,43.23,48.17918,38.274118,49.51,53.890508,45.13133,20:33:28  4 Nov 2021,-6.28,2021-11-04 20:33:28,Nov. 04
1663,Joe Biden,Adults,11-03-21,42.92,47.829437,38.007546,49.79,54.228242,45.342651,11:58:14  3 Nov 2021,-6.87,2021-11-03 11:58:14,Nov. 03
1666,Joe Biden,Adults,11-02-21,43.08,48.05767,38.10294,49.74,54.30236,45.17045,11:58:15  2 Nov 2021,-6.66,2021-11-02 11:58:15,Nov. 02
1669,Joe Biden,Adults,11-01-21,42.96,47.84579,38.0683,49.7,54.19978,45.19582,13:58:14  1 Nov 2021,-6.74,2021-11-01 13:58:14,Nov. 01
1672,Joe Biden,Adults,10-31-21,43.39,48.19471,38.57981,50.37,54.67816,46.05935,12:39:14 31 Oct 2021,-6.98,2021-10-31 12:39:14,Oct. 31
1675,Joe Biden,Adults,10-30-21,43.36,48.2936,38.43287,49.93,54.10301,45.75431,10:46:14 30 Oct 2021,-6.57,2021-10-30 10:46:14,Oct. 30
1678,Joe Biden,Adults,10-29-21,43.36,48.29357,38.4329,49.93,54.10297,45.75436,13:50:14 29 Oct 2021,-6.57,2021-10-29 13:50:14,Oct. 29
1681,Joe Biden,Adults,10-28-21,43.36,48.2936,38.43287,49.93,54.10301,45.75431,21:13:14 28 Oct 2021,-6.57,2021-10-28 21:13:14,Oct. 28
1684,Joe Biden,Adults,10-27-21,43.09,48.17592,38.01147,49.51,53.91731,45.09698,18:12:03 27 Oct 2021,-6.41,2021-10-27 18:12:03,Oct. 27
1687,Joseph R. Biden Jr.,Adults,10-26-21,42.93,48.138978,37.715725,49.52,54.027718,45.004914,09:40:13 26 Oct 2021,-6.59,2021-10-26 09:40:13,Oct. 26
1696,Joseph R. Biden Jr.,Adults,10-25-21,42.72,48.167347,37.280347,48.95,53.39369,44.496407,09:47:30 25 Oct 2021,-6.22,2021-10-25 09:47:30,Oct. 25
1699,Joseph R. Biden Jr.,Adults,10-22-21,42.72,48.167383,37.280311,48.95,53.393731,44.496366,20:48:12 22 Oct 2021,-6.22,2021-10-22 20:48:12,Oct. 22
1702,Joseph R. Biden Jr.,Adults,10-21-21,42.71,48.233176,37.19033,48.99,53.560886,44.4181,17:15:15 21 Oct 2021,-6.28,2021-10-21 17:15:15,Oct. 21
1705,Joseph R. Biden Jr.,Adults,10-20-21,42.82,48.592388,37.043368,48.93,53.717564,44.133423,20:39:12 20 Oct 2021,-6.11,2021-10-20 20:39:12,Oct. 20
1708,Joseph R. Biden Jr.,Adults,10-19-21,43.85,49.715136,37.976513,49.29,54.396375,44.186638,16:01:13 19 Oct 2021,-5.45,2021-10-19 16:01:13,Oct. 19
1717,Joseph R. Biden Jr.,Adults,10-18-21,45.01,50.09462,39.929302,48.83,53.967463,43.687314,09:16:30 18 Oct 2021,-3.82,2021-10-18 09:16:30,Oct. 18
1720,Joseph R. Biden Jr.,Adults,10-15-21,45.01,50.094582,39.92934,48.83,53.96742,43.687357,13:12:13 15 Oct 2021,-3.82,2021-10-15 13:12:13,Oct. 15
1723,Joseph R. Biden Jr.,Adults,10-14-21,44.97,50.0619,39.885275,48.82,53.981062,43.663305,21:09:13 14 Oct 2021,-3.85,2021-10-14 21:09:13,Oct. 14
1726,Joseph R. Biden Jr.,Adults,10-13-21,44.93,50.201202,39.666319,48.77,54.11574,43.417333,12:47:12 13 Oct 2021,-3.83,2021-10-13 12:47:12,Oct. 13
1729,Joseph R. Biden Jr.,Adults,10-12-21,45.01,50.069433,39.95672,48.18,53.712793,42.644506,09:33:13 12 Oct 2021,-3.17,2021-10-12 09:33:13,Oct. 12
1732,Joseph R. Biden Jr.,Adults,10-11-21,45.01,50.069396,39.956758,48.18,53.712749,42.644549,14:30:16 11 Oct 2021,-3.17,2021-10-11 14:30:16,Oct. 11
1738,Joseph R. Biden Jr.,Adults,10-10-21,43.73,48.572824,38.893213,48.0,53.674144,42.330554,12:59:20 10 Oct 2021,-4.27,2021-10-10 12:59:20,Oct. 10
1741,Joseph R. Biden Jr.,Adults,10-08-21,43.73,48.572824,38.893213,48.0,53.674144,42.330554,14:03:13  8 Oct 2021,-4.27,2021-10-08 14:03:13,Oct. 08
1744,Joseph R. Biden Jr.,Adults,10-07-21,43.73,48.572786,38.893251,48.0,53.674101,42.330597,21:01:12  7 Oct 2021,-4.27,2021-10-07 21:01:12,Oct. 07
1747,Joseph R. Biden Jr.,Adults,10-06-21,43.38,48.137254,38.619542,48.18,53.99141,42.371904,20:00:13  6 Oct 2021,-4.8,2021-10-06 20:00:13,Oct. 06
1750,Joseph R. Biden Jr.,Adults,10-05-21,44.59,48.822188,40.358303,46.89,52.829,40.942859,20:25:12  5 Oct 2021,-2.3,2021-10-05 20:25:12,Oct. 05
1753,Joseph R. Biden Jr.,Adults,10-04-21,44.65,48.869899,40.438837,46.64,52.528847,40.750177,13:15:11  4 Oct 2021,-1.99,2021-10-04 13:15:11,Oct. 04
1759,Joseph R. Biden Jr.,Adults,10-03-21,44.8,49.267677,40.339763,47.75,53.030839,42.473887,20:34:20  3 Oct 2021,-2.95,2021-10-03 20:34:20,Oct. 03
1762,Joseph R. Biden Jr.,Adults,10-01-21,44.8,49.267677,40.339763,47.75,53.030839,42.473887,10:23:11  1 Oct 2021,-2.95,2021-10-01 10:23:11,Oct. 01
1765,Joseph R. Biden Jr.,Adults,09-30-21,44.54,48.779503,40.30906,47.71,53.190446,42.230321,23:12:12 30 Sep 2021,-3.17,2021-09-30 23:12:12,Sep. 30
1768,Joseph R. Biden Jr.,Adults,09-29-21,44.42,48.950277,39.89892,48.2,54.086808,42.309027,09:51:10 29 Sep 2021,-3.77,2021-09-29 09:51:10,Sep. 29
1771,Joseph R. Biden Jr.,Adults,09-28-21,44.92,48.988322,40.853871,48.08,54.045708,42.119189,09:39:12 28 Sep 2021,-3.16,2021-09-28 09:39:12,Sep. 28
1780,Joseph R. Biden Jr.,Adults,09-27-21,44.87,48.923542,40.817871,48.12,54.091534,42.152934,09:35:51 27 Sep 2021,-3.25,2021-09-27 09:35:51,Sep. 27
1783,Joseph R. Biden Jr.,Adults,09-24-21,44.87,48.923501,40.817912,48.12,54.091483,42.152985,14:49:10 24 Sep 2021,-3.25,2021-09-24 14:49:10,Sep. 24
1786,Joseph R. Biden Jr.,Adults,09-23-21,45.22,49.251772,41.188433,47.48,53.365515,41.58487,14:35:10 23 Sep 2021,-2.26,2021-09-23 14:35:10,Sep. 23
1789,Joseph R. Biden Jr.,Adults,09-22-21,45.94,50.319715,41.552406,47.75,52.544759,42.962307,17:27:10 22 Sep 2021,-1.82,2021-09-22 17:27:10,Sep. 22
1792,Joseph R. Biden Jr.,Adults,09-21-21,46.18,50.751326,41.599666,47.57,52.44096,42.692043,16:18:11 21 Sep 2021,-1.39,2021-09-21 16:18:11,Sep. 21
1795,Joseph R. Biden Jr.,Adults,09-20-21,45.63,49.943857,41.310945,47.77,52.719239,42.826264,13:32:11 20 Sep 2021,-2.15,2021-09-20 13:32:11,Sep. 20
1801,Joseph R. Biden Jr.,Adults,09-19-21,45.52,49.816727,41.225437,47.81,52.754575,42.871149,13:37:16 19 Sep 2021,-2.29,2021-09-19 13:37:16,Sep. 19
1804,Joseph R. Biden Jr.,Adults,09-17-21,45.52,49.816727,41.225437,47.81,52.754575,42.871149,13:01:56 17 Sep 2021,-2.29,2021-09-17 13:01:56,Sep. 17
1807,Joseph R. Biden Jr.,Adults,09-16-21,45.45,49.752337,41.152388,47.75,52.716586,42.787076,19:01:10 16 Sep 2021,-2.3,2021-09-16 19:01:10,Sep. 16
1810,Joseph R. Biden Jr.,Adults,09-15-21,45.49,50.078693,40.90806,47.61,52.853442,42.373786,14:20:10 15 Sep 2021,-2.12,2021-09-15 14:20:10,Sep. 15
1813,Joseph R. Biden Jr.,Adults,09-14-21,45.56,50.268778,40.846693,47.69,53.049536,42.32367,14:59:10 14 Sep 2021,-2.13,2021-09-14 14:59:10,Sep. 14
1822,Joseph R. Biden Jr.,Adults,09-13-21,45.58,50.289658,40.874291,46.95,52.500638,41.393652,08:56:22 13 Sep 2021,-1.37,2021-09-13 08:56:22,Sep. 13
1825,Joseph R. Biden Jr.,Adults,09-10-21,45.58,50.286749,40.87206,46.95,52.500158,41.393676,18:35:10 10 Sep 2021,-1.37,2021-09-10 18:35:10,Sep. 10
1828,Joseph R. Biden Jr.,Adults,09-09-21,44.38,48.973546,39.789109,46.61,52.229658,40.986924,21:02:11  9 Sep 2021,-2.23,2021-09-09 21:02:11,Sep. 09
1831,Joseph R. Biden Jr.,Adults,09-08-21,44.27,49.143973,39.392043,48.08,52.91223,43.242263,09:25:10  8 Sep 2021,-3.81,2021-09-08 09:25:10,Sep. 08
1834,Joseph R. Biden Jr.,Adults,09-07-21,44.97,49.41532,40.531551,47.7,52.454049,42.94102,18:34:11  7 Sep 2021,-2.72,2021-09-07 18:34:11,Sep. 07
1843,Joseph R. Biden Jr.,Adults,09-06-21,45.63,50.218188,41.032803,48.07,52.740562,43.403697,09:56:22  6 Sep 2021,-2.45,2021-09-06 09:56:22,Sep. 06
1846,Joseph R. Biden Jr.,Adults,09-03-21,45.62,50.214395,41.021141,48.08,52.749302,43.406912,10:34:10  3 Sep 2021,-2.46,2021-09-03 10:34:10,Sep. 03
